score,9,8,7
0,32059,14069,8400
1,9112,3740,2488
2,6545,2995,2038
3,4248,2087,1450
4,2668,1577,1163
5,1620,1093,825
6,1215,670,537
7,818,508,413
8,345,235,206
9,575,193,137
10,730,453,336
11,71,71,68
12,130,130,130
13,667,667,667
-2,32030,16300,8634
-10,320,0,0
-9,5744,2528,512
-8,17768,10616,5488
-7,26600,16332,8408
-6,40237,24664,12632
-5,42322,24417,12641
-4,42367,25339,12601
-3,37857,21694,11517
-1,24680,1212,6910
