size,diff,gap,hit score,Suboptimal,Wrong hit,No hit
10,2,0,-13,336,336,122
10,2,0,-12,336,336,122
10,2,0,-11,336,336,122
10,2,0,-10,336,336,122
10,2,0,-9,336,336,122
10,2,0,-8,336,336,122
10,2,0,-7,334,334,124
10,2,0,-6,331,331,127
10,2,0,-5,327,326,132
10,2,0,-4,321,316,138
10,2,0,-3,314,303,145
10,2,0,-2,306,283,154
10,2,0,-1,295,264,167
10,2,0,0,288,228,175
10,2,0,1,261,212,203
10,2,0,2,253,199,213
10,2,0,3,238,176,231
10,2,0,4,225,159,250
10,2,0,5,214,136,269
10,2,0,6,193,111,292
10,2,0,7,176,98,323
10,2,0,8,160,88,349
10,2,0,9,151,86,382
10,2,0,10,145,73,405
10,2,0,11,126,71,460
10,2,0,12,127,58,480
10,2,2,-13,151,150,409
10,2,2,-12,151,150,409
10,2,2,-11,151,150,409
10,2,2,-10,151,150,409
10,2,2,-9,151,150,409
10,2,2,-8,151,150,409
10,2,2,-7,151,150,409
10,2,2,-6,151,150,409
10,2,2,-5,151,150,409
10,2,2,-4,151,150,409
10,2,2,-3,151,146,409
10,2,2,-2,151,143,409
10,2,2,-1,151,137,409
10,2,2,0,151,128,409
10,2,2,1,151,124,409
10,2,2,2,151,98,409
10,2,2,3,126,80,476
10,2,2,4,109,63,514
10,2,2,5,92,39,564
10,2,2,6,72,31,616
10,2,2,7,64,23,653
10,2,2,8,55,21,696
10,2,2,9,53,20,721
10,2,2,10,50,16,740
10,2,2,11,44,14,781
10,2,2,12,42,9,795
10,2,4,-13,54,54,672
10,2,4,-12,54,54,672
10,2,4,-11,54,54,672
10,2,4,-10,54,54,672
10,2,4,-9,54,54,672
10,2,4,-8,54,54,672
10,2,4,-7,54,54,672
10,2,4,-6,54,54,672
10,2,4,-5,54,54,672
10,2,4,-4,54,54,672
10,2,4,-3,54,54,672
10,2,4,-2,54,54,672
10,2,4,-1,54,54,672
10,2,4,0,54,39,672
10,2,4,1,39,32,722
10,2,4,2,32,23,749
10,2,4,3,23,15,782
10,2,4,4,15,13,819
10,2,4,5,13,5,843
10,2,4,6,5,1,868
10,2,4,7,1,1,887
10,2,4,8,1,0,903
10,2,4,9,0,0,916
10,2,4,10,0,0,921
10,2,4,11,0,0,943
10,2,4,12,0,0,946
10,4,0,-13,406,406,231
10,4,0,-12,406,406,231
10,4,0,-11,406,406,231
10,4,0,-10,406,406,231
10,4,0,-9,406,406,231
10,4,0,-8,406,406,231
10,4,0,-7,403,403,234
10,4,0,-6,394,394,243
10,4,0,-5,391,391,246
10,4,0,-4,390,383,251
10,4,0,-3,383,369,260
10,4,0,-2,371,353,279
10,4,0,-1,361,332,292
10,4,0,0,346,279,314
10,4,0,1,328,263,351
10,4,0,2,298,220,384
10,4,0,3,270,206,421
10,4,0,4,253,170,444
10,4,0,5,225,144,480
10,4,0,6,202,117,507
10,4,0,7,171,104,560
10,4,0,8,161,91,590
10,4,0,9,145,82,621
10,4,0,10,135,56,637
10,4,0,11,109,54,697
10,4,0,12,104,47,707
10,4,2,-13,132,132,474
10,4,2,-12,132,132,474
10,4,2,-11,132,132,474
10,4,2,-10,132,132,474
10,4,2,-9,132,132,474
10,4,2,-8,132,132,474
10,4,2,-7,132,132,474
10,4,2,-6,132,132,474
10,4,2,-5,132,132,474
10,4,2,-4,132,130,474
10,4,2,-3,132,129,474
10,4,2,-2,132,128,474
10,4,2,-1,132,126,474
10,4,2,0,132,123,474
10,4,2,1,132,120,474
10,4,2,2,132,100,474
10,4,2,3,112,75,529
10,4,2,4,88,52,586
10,4,2,5,66,35,656
10,4,2,6,47,25,706
10,4,2,7,35,20,753
10,4,2,8,31,17,784
10,4,2,9,27,15,805
10,4,2,10,25,10,818
10,4,2,11,20,9,853
10,4,2,12,19,6,857
10,4,4,-13,57,57,645
10,4,4,-12,57,57,645
10,4,4,-11,57,57,645
10,4,4,-10,57,57,645
10,4,4,-9,57,57,645
10,4,4,-8,57,57,645
10,4,4,-7,57,57,645
10,4,4,-6,57,57,645
10,4,4,-5,57,57,645
10,4,4,-4,57,57,645
10,4,4,-3,57,57,645
10,4,4,-2,57,57,645
10,4,4,-1,57,56,645
10,4,4,0,57,34,645
10,4,4,1,35,24,706
10,4,4,2,25,14,750
10,4,4,3,15,11,790
10,4,4,4,12,5,814
10,4,4,5,6,3,858
10,4,4,6,4,1,888
10,4,4,7,1,1,908
10,4,4,8,1,1,914
10,4,4,9,1,1,925
10,4,4,10,1,1,934
10,4,4,11,1,1,951
10,4,4,12,1,1,955
13,2,0,-13,134,134,54
13,2,0,-12,134,134,54
13,2,0,-11,134,134,54
13,2,0,-10,134,134,54
13,2,0,-9,134,134,54
13,2,0,-8,134,134,54
13,2,0,-7,134,134,54
13,2,0,-6,133,133,55
13,2,0,-5,130,130,58
13,2,0,-4,128,126,61
13,2,0,-3,121,120,68
13,2,0,-2,118,112,71
13,2,0,-1,109,98,80
13,2,0,0,104,82,85
13,2,0,1,86,76,105
13,2,0,2,78,66,114
13,2,0,3,68,60,125
13,2,0,4,61,58,132
13,2,0,5,65,57,134
13,2,0,6,63,51,139
13,2,0,7,60,53,153
13,2,0,8,57,52,175
13,2,0,9,57,47,193
13,2,0,10,55,38,214
13,2,0,11,45,43,263
