size,diff,gap,hit score,Suboptimal,Wrong hit,No hit
10,2,0,-13,397,397,12
10,2,0,-12,397,397,12
10,2,0,-11,397,397,12
10,2,0,-10,397,397,12
10,2,0,-9,397,397,12
10,2,0,-8,397,397,12
10,2,0,-7,397,397,12
10,2,0,-6,396,396,13
10,2,0,-5,392,392,17
10,2,0,-4,390,390,19
10,2,0,-3,389,389,23
10,2,0,-2,386,385,28
10,2,0,-1,378,373,38
10,2,0,0,365,303,51
10,2,0,1,326,284,94
10,2,0,2,311,254,112
10,2,0,3,287,224,142
10,2,0,4,267,190,173
10,2,0,5,250,165,196
10,2,0,6,226,149,231
10,2,0,7,209,124,264
10,2,0,8,186,126,301
10,2,0,9,177,92,327
10,2,0,10,157,57,386
10,2,0,11,107,63,484
10,2,0,12,114,62,497
10,2,2,-13,226,226,170
10,2,2,-12,226,226,170
10,2,2,-11,226,226,170
10,2,2,-10,226,226,170
10,2,2,-9,226,226,170
10,2,2,-8,226,226,170
10,2,2,-7,226,226,170
10,2,2,-6,226,226,170
10,2,2,-5,226,226,170
10,2,2,-4,226,226,170
10,2,2,-3,226,226,170
10,2,2,-2,226,226,170
10,2,2,-1,226,226,170
10,2,2,0,226,217,170
10,2,2,1,226,209,170
10,2,2,2,226,167,170
10,2,2,3,190,136,246
10,2,2,4,164,100,320
10,2,2,5,131,74,416
10,2,2,6,110,46,496
10,2,2,7,82,41,588
10,2,2,8,75,32,631
10,2,2,9,65,21,658
10,2,2,10,51,8,716
10,2,2,11,37,8,800
10,2,2,12,36,7,812
10,2,4,-13,95,95,449
10,2,4,-12,95,95,449
10,2,4,-11,95,95,449
10,2,4,-10,95,95,449
10,2,4,-9,95,95,449
10,2,4,-8,95,95,449
10,2,4,-7,95,95,449
10,2,4,-6,95,95,449
10,2,4,-5,95,95,449
10,2,4,-4,95,95,449
10,2,4,-3,95,95,449
10,2,4,-2,95,95,449
10,2,4,-1,95,95,449
10,2,4,0,95,76,449
10,2,4,1,77,58,488
10,2,4,2,59,38,541
10,2,4,3,39,25,614
10,2,4,4,26,20,688
10,2,4,5,21,10,741
10,2,4,6,11,6,789
10,2,4,7,8,4,826
10,2,4,8,6,4,857
10,2,4,9,5,1,874
10,2,4,10,3,1,896
10,2,4,11,2,1,933
10,2,4,12,2,1,936
10,4,0,-13,426,426,19
10,4,0,-12,426,426,19
10,4,0,-11,426,426,19
10,4,0,-10,426,426,19
10,4,0,-9,426,426,19
10,4,0,-8,426,426,19
10,4,0,-7,427,427,20
10,4,0,-6,428,428,20
10,4,0,-5,430,430,24
10,4,0,-4,434,434,26
10,4,0,-3,433,433,36
10,4,0,-2,432,429,43
10,4,0,-1,431,424,56
10,4,0,0,432,372,73
10,4,0,1,426,358,132
10,4,0,2,405,313,169
10,4,0,3,366,285,229
10,4,0,4,341,237,271
10,4,0,5,305,212,327
10,4,0,6,275,172,371
10,4,0,7,247,152,429
10,4,0,8,226,153,467
10,4,0,9,216,115,497
10,4,0,10,184,62,571
10,4,0,11,118,56,697
10,4,0,12,108,52,717
10,4,2,-13,191,191,226
10,4,2,-12,191,191,226
10,4,2,-11,191,191,226
10,4,2,-10,191,191,226
10,4,2,-9,191,191,226
10,4,2,-8,191,191,226
10,4,2,-7,191,191,226
10,4,2,-6,191,191,226
10,4,2,-5,191,191,226
10,4,2,-4,191,191,226
10,4,2,-3,191,191,226
10,4,2,-2,191,190,226
10,4,2,-1,191,188,226
10,4,2,0,191,184,226
10,4,2,1,191,177,226
10,4,2,2,191,150,226
10,4,2,3,165,128,297
10,4,2,4,145,89,351
10,4,2,5,106,60,446
10,4,2,6,75,42,528
10,4,2,7,58,34,603
10,4,2,8,50,24,661
10,4,2,9,41,18,705
10,4,2,10,34,9,763
