size,diff,gap,hit score,Suboptimal,Wrong hit,No hit
10,4,2,11,24,9,834
10,4,2,12,22,8,840
10,4,4,-13,66,66,425
10,4,4,-12,66,66,425
10,4,4,-11,66,66,425
10,4,4,-10,66,66,425
10,4,4,-9,66,66,425
10,4,4,-8,66,66,425
10,4,4,-7,66,66,425
10,4,4,-6,66,66,425
10,4,4,-5,66,66,425
10,4,4,-4,66,66,425
10,4,4,-3,66,66,425
10,4,4,-2,66,66,425
10,4,4,-1,66,66,425
10,4,4,0,66,48,425
10,4,4,1,49,32,480
10,4,4,2,34,18,532
10,4,4,3,21,11,619
10,4,4,4,13,8,683
10,4,4,5,9,5,755
10,4,4,6,6,1,802
10,4,4,7,3,1,844
10,4,4,8,3,1,877
10,4,4,9,3,1,886
10,4,4,10,3,1,911
10,4,4,11,2,1,943
10,4,4,12,2,1,946
13,2,0,-13,145,145,2
13,2,0,-12,145,145,2
13,2,0,-11,145,145,2
13,2,0,-10,145,145,2
13,2,0,-9,145,145,2
13,2,0,-8,145,145,2
13,2,0,-7,145,145,2
13,2,0,-6,146,146,2
13,2,0,-5,145,145,3
13,2,0,-4,146,146,3
13,2,0,-3,149,149,3
13,2,0,-2,149,149,7
13,2,0,-1,145,143,12
13,2,0,0,138,118,20
13,2,0,1,121,115,41
13,2,0,2,115,101,49
13,2,0,3,104,91,61
13,2,0,4,89,78,78
13,2,0,5,83,73,89
13,2,0,6,76,61,103
13,2,0,7,79,61,111
13,2,0,8,74,63,128
13,2,0,9,83,56,141
13,2,0,10,68,37,190
13,2,0,11,49,45,255
13,2,0,12,48,38,277
13,2,2,-13,239,239,163
13,2,2,-12,239,239,163
13,2,2,-11,239,239,163
13,2,2,-10,239,239,163
13,2,2,-9,239,239,163
13,2,2,-8,239,239,163
13,2,2,-7,239,239,163
13,2,2,-6,239,239,163
13,2,2,-5,239,239,163
13,2,2,-4,239,239,164
13,2,2,-3,238,238,165
13,2,2,-2,238,236,165
13,2,2,-1,237,231,166
13,2,2,0,235,220,170
13,2,2,1,230,197,182
13,2,2,2,220,175,202
13,2,2,3,215,156,214
13,2,2,4,213,138,222
13,2,2,5,204,124,247
13,2,2,6,196,110,269
13,2,2,7,187,90,300
13,2,2,8,179,85,334
13,2,2,9,172,62,358
13,2,2,10,161,38,403
13,2,2,11,125,39,527
13,2,2,12,115,37,552
13,2,4,-13,149,149,285
13,2,4,-12,149,149,285
13,2,4,-11,149,149,285
13,2,4,-10,149,149,285
13,2,4,-9,149,149,285
13,2,4,-8,149,149,285
13,2,4,-7,149,149,285
13,2,4,-6,149,149,285
13,2,4,-5,149,149,285
13,2,4,-4,149,149,285
13,2,4,-3,149,148,285
13,2,4,-2,149,147,285
13,2,4,-1,149,146,285
13,2,4,0,149,134,285
13,2,4,1,149,129,285
13,2,4,2,149,123,285
13,2,4,3,149,119,285
13,2,4,4,149,97,285
13,2,4,5,135,84,336
13,2,4,6,124,56,381
13,2,4,7,99,45,451
13,2,4,8,84,39,507
13,2,4,9,76,26,554
13,2,4,10,61,13,618
13,2,4,11,45,12,718
13,2,4,12,43,11,732
13,4,0,-13,267,267,5
13,4,0,-12,267,267,5
13,4,0,-11,267,267,5
13,4,0,-10,267,267,5
13,4,0,-9,267,267,5
13,4,0,-8,267,267,5
13,4,0,-7,267,267,5
13,4,0,-6,267,267,6
13,4,0,-5,270,270,7
13,4,0,-4,271,271,9
13,4,0,-3,272,272,13
13,4,0,-2,282,279,17
13,4,0,-1,287,283,25
13,4,0,0,282,254,38
13,4,0,1,256,233,83
13,4,0,2,243,205,102
13,4,0,3,222,187,138
13,4,0,4,206,167,163
13,4,0,5,192,156,186
13,4,0,6,182,138,206
13,4,0,7,171,126,248
13,4,0,8,152,123,279
13,4,0,9,151,96,298
13,4,0,10,137,66,356
13,4,0,11,105,78,446
13,4,0,12,109,74,468
13,4,2,-13,212,212,209
13,4,2,-12,212,212,209
13,4,2,-11,212,212,209
13,4,2,-10,212,212,209
13,4,2,-9,212,212,209
13,4,2,-8,212,212,209
13,4,2,-7,212,212,209
13,4,2,-6,211,211,210
13,4,2,-5,211,211,210
13,4,2,-4,211,211,211
13,4,2,-3,210,210,212
13,4,2,-2,210,210,213
13,4,2,-1,208,206,218
13,4,2,0,207,194,223
13,4,2,1,197,173,247
13,4,2,2,194,159,263
13,4,2,3,192,152,274
13,4,2,4,193,149,283
13,4,2,5,186,127,310
13,4,2,6,173,112,338
13,4,2,7,166,97,381
13,4,2,8,152,89,423
13,4,2,9,143,76,453
13,4,2,10,134,46,506
13,4,2,11,98,46,636
13,4,2,12,92,42,648
13,4,4,-13,106,106,299
13,4,4,-12,106,106,299
13,4,4,-11,106,106,299
13,4,4,-10,106,106,299
13,4,4,-9,106,106,299
13,4,4,-8,106,106,299
13,4,4,-7,106,106,299
13,4,4,-6,106,106,299
13,4,4,-5,106,106,299
13,4,4,-4,106,106,299
13,4,4,-3,106,106,299
13,4,4,-2,106,106,299
13,4,4,-1,106,106,299
13,4,4,0,106,103,299
13,4,4,1,106,98,299
13,4,4,2,106,97,299
13,4,4,3,106,95,299
13,4,4,4,106,83,299
13,4,4,5,95,69,346
13,4,4,6,82,49,388
13,4,4,7,61,36,471
13,4,4,8,47,31,547
13,4,4,9,39,24,592
13,4,4,10,31,8,650
13,4,4,11,16,7,766
13,4,4,12,15,7,784
15,2,0,-13,55,55,0
15,2,0,-12,55,55,0
15,2,0,-11,55,55,0
15,2,0,-10,55,55,0
15,2,0,-9,55,55,0
15,2,0,-8,55,55,0
15,2,0,-7,55,55,0
15,2,0,-6,55,55,0
15,2,0,-5,55,55,0
15,2,0,-4,55,54,0
15,2,0,-3,57,57,0
15,2,0,-2,57,57,1
15,2,0,-1,58,58,2
15,2,0,0,59,53,2
15,2,0,1,51,45,10
15,2,0,2,45,39,16
15,2,0,3,43,35,19
15,2,0,4,40,37,26
15,2,0,5,39,30,29
15,2,0,6,34,32,37
15,2,0,7,35,32,43
15,2,0,8,34,28,59
15,2,0,9,31,22,80
15,2,0,10,36,23,118
15,2,0,11,30,30,163
15,2,0,12,39,29,194
15,2,2,-13,206,206,68
15,2,2,-12,206,206,68
15,2,2,-11,206,206,68
15,2,2,-10,206,206,68
15,2,2,-9,206,206,68
15,2,2,-8,207,207,68
15,2,2,-7,207,207,69
15,2,2,-6,207,207,70
15,2,2,-5,207,207,73
15,2,2,-4,206,206,78
15,2,2,-3,205,205,87
15,2,2,-2,206,206,95
15,2,2,-1,200,196,106
15,2,2,0,196,173,126
15,2,2,1,183,158,163
15,2,2,2,180,142,177
15,2,2,3,178,129,197
15,2,2,4,173,117,214
15,2,2,5,172,105,225
15,2,2,6,170,85,238
15,2,2,7,168,88,258
15,2,2,8,167,81,275
15,2,2,9,158,58,302
15,2,2,10,150,33,363
15,2,2,11,123,42,459
15,2,2,12,124,42,479
15,2,4,-13,156,156,354
15,2,4,-12,156,156,354
15,2,4,-11,156,156,354
15,2,4,-10,156,156,354
15,2,4,-9,156,156,354
15,2,4,-8,156,156,354
15,2,4,-7,156,156,354
15,2,4,-6,156,156,354
15,2,4,-5,156,156,354
15,2,4,-4,156,156,354
15,2,4,-3,156,156,354
15,2,4,-2,156,155,354
15,2,4,-1,156,153,354
15,2,4,0,156,139,354
15,2,4,1,156,131,354
15,2,4,2,156,122,354
15,2,4,3,156,113,354
15,2,4,4,156,109,354
15,2,4,5,156,103,354
15,2,4,6,156,92,354
15,2,4,7,151,84,368
15,2,4,8,144,77,383
15,2,4,9,137,68,409
15,2,4,10,124,39,463
15,2,4,11,94,38,572
15,2,4,12,90,34,588
15,4,0,-13,191,191,1
15,4,0,-12,191,191,1
15,4,0,-11,191,191,1
15,4,0,-10,191,191,1
15,4,0,-9,191,191,1
15,4,0,-8,191,191,1
15,4,0,-7,192,192,1
15,4,0,-6,192,192,1
15,4,0,-5,193,193,1
15,4,0,-4,192,192,3
15,4,0,-3,194,194,5
15,4,0,-2,194,194,11
15,4,0,-1,194,188,18
15,4,0,0,184,167,32
15,4,0,1,165,153,58
15,4,0,2,160,137,68
15,4,0,3,151,127,85
15,4,0,4,137,122,104
15,4,0,5,131,111,122
15,4,0,6,123,100,140
15,4,0,7,114,91,169
15,4,0,8,106,95,196
15,4,0,9,107,77,214
15,4,0,10,93,50,269
15,4,0,11,67,60,366
15,4,0,12,70,59,388
15,4,2,-13,196,196,116
15,4,2,-12,196,196,116
15,4,2,-11,196,196,116
15,4,2,-10,196,196,116
15,4,2,-9,196,196,116
15,4,2,-8,196,196,117
15,4,2,-7,196,196,117
15,4,2,-6,196,196,118
15,4,2,-5,194,194,123
15,4,2,-4,193,193,131
15,4,2,-3,193,193,136
15,4,2,-2,190,190,148
15,4,2,-1,185,180,164
15,4,2,0,179,164,191
15,4,2,1,174,149,232
15,4,2,2,172,137,260
15,4,2,3,164,127,288
15,4,2,4,161,119,306
15,4,2,5,161,113,329
15,4,2,6,158,97,352
15,4,2,7,152,92,385
15,4,2,8,142,87,418
15,4,2,9,141,72,433
15,4,2,10,134,43,483
15,4,2,11,109,47,582
15,4,2,12,111,43,594
15,4,4,-13,131,131,392
15,4,4,-12,131,131,392
15,4,4,-11,131,131,392
15,4,4,-10,131,131,392
15,4,4,-9,131,131,392
15,4,4,-8,131,131,392
15,4,4,-7,131,131,392
15,4,4,-6,131,131,392
15,4,4,-5,131,131,392
15,4,4,-4,131,131,392
15,4,4,-3,131,131,392
15,4,4,-2,131,130,392
15,4,4,-1,131,128,392
15,4,4,0,131,116,392
15,4,4,1,131,111,392
15,4,4,2,131,105,392
15,4,4,3,131,99,392
15,4,4,4,131,97,392
15,4,4,5,131,96,392
15,4,4,6,131,90,392
15,4,4,7,129,88,400
15,4,4,8,127,84,413
15,4,4,9,123,75,448
15,4,4,10,111,43,504
15,4,4,11,82,45,644
15,4,4,12,80,42,659
